drug_a	drug_b	cell_line	label	fold
Navitoclax	Bortezomib	HCC1569	0	1
Linsitinib	Taselisib	HDQ-P1	0	1
Linsitinib	Temozolomide	HCC1806	0	1
Olaparib	Gemcitabine	HCC38	0	1
Bortezomib	PF-4708671	HCC1954	0	1
Lapatinib	Luminespib	MDA-MB-453	0	1
SB216763	AZD8055	NCI-H747	0	1
OSI-027	Taselisib	HCC1428	0	1
MK-1775	OSI-027	CAL-51	1	1
Olaparib	BMS-754807	SNU-407	0	1
Sapitinib	SCH772984	NCI-H716	0	1
Ruxolitinib	Linsitinib	CFPAC-1	0	1
MK-1775	BI-2536	MDA-MB-415	0	1
Palbociclib	Ribociclib	HCC1569	0	1
Linsitinib	MK-2206	HuP-T4	0	1
Trametinib	OSI-027	DU-4475	0	1
Taselisib	5-Fluorouracil	HCC2998	0	1
SCH772984	LGK974	CaR-1	0	1
Palbociclib	AZD7762	CAL-85-1	0	1
Oxaliplatin	Sapitinib	SNU-407	0	1
Docetaxel	Doramapimod	DU-4475	0	1
Temozolomide	Entinostat	MDA-MB-453	0	1
MK-1775	SB216763	COLO-205	0	1
Docetaxel	SB216763	HCC1569	0	1
Axitinib	Sorafenib	HCC1569	0	1
Gemcitabine	Tozasertib	HCC1395	0	1
OSI-027	Lapatinib	HCC70	0	1
Trametinib	Alpelisib	ZR-75-30	0	1
Trametinib	MK-2206	HCC202	1	1
Palbociclib	Lapatinib	SW1990	0	1
5-Fluorouracil	Afatinib	SNU-C5	0	1
Gemcitabine	Palbociclib	CAL-148	0	1
AZD4547	5-Fluorouracil	SNU-81	0	1
5-Fluorouracil	Ribociclib	HCC1569	0	1
Navitoclax	Bortezomib	HCC1954	0	1
SCH772984	AZD8055	HT-115	0	1
Oxaliplatin	Crizotinib	SNU-1040	0	1
Cisplatin	Crizotinib	BT-549	0	1
AZD7762	LGK974	HCC2998	0	1
Linsitinib	Navitoclax	MDST8	0	1
Linsitinib	Camptothecin	HCC1599	0	1
Lapatinib	Paclitaxel	HPAC	0	1
Linsitinib	Cisplatin	BT-549	0	1
Palbociclib	Tozasertib	HCC2157	0	1
LGK974	MK-2206	LS-123	0	1
Axitinib	MK-2206	MDA-MB-231	0	1
Taselisib	LGK974	SW1116	0	1
Trametinib	SCH772984	GP5d	0	1
Taselisib	AZD7762	HCC1500	0	1
AZD7762	MK-2206	LS-123	0	1
Sapitinib	Alpelisib	HCC1143	0	1
Taselisib	Linsitinib	T47D	0	1
Vinorelbine	Olaparib	COLO-205	0	1
Luminespib	Palbociclib	T47D	0	1
Cisplatin	Axitinib	HCC1428	0	1
Luminespib	5-Fluorouracil	HCC1395	0	1
Pictilisib	AZD8055	CAL-148	0	1
Linsitinib	Navitoclax	CaR-1	0	1
Linsitinib	Sorafenib	KP-4	0	1
Axitinib	Wee1 Inhibitor	T47D	0	1
Palbociclib	OSI-027	HuP-T4	0	1
5-Fluorouracil	Navitoclax	CAL-148	1	1
Linsitinib	Lapatinib	JIMT-1	0	1
MK-2206	GSK269962A	HCC1143	0	1
Olaparib	Alisertib	CAL-85-1	0	1
5-Fluorouracil	Lapatinib	ZR-75-30	0	1
Olaparib	Trametinib	CaR-1	0	1
Trametinib	AZD6482	CAL-148	0	1
Luminespib	Lapatinib	ZR-75-1	0	1
Dasatinib	Oxaliplatin	KP-4	0	1
Docetaxel	Palbociclib	MDA-MB-453	0	1
Trametinib	Entinostat	HCC70	0	1
Gemcitabine	Galunisertib	CFPAC-1	0	1
Navitoclax	Taselisib	COLO-824	0	1
Trametinib	Doramapimod	OCUB-M	0	1
Olaparib	Paclitaxel	BT-549	0	1
Temozolomide	Axitinib	HCC1954	0	1
LGK974	SCH772984	GP5d	1	1
Palbociclib	SCH772984	HCC1395	0	1
Trametinib	Nilotinib	DU-4475	0	1
Luminespib	AZD8055	JIMT-1	0	1
Temozolomide	Vorinostat	JIMT-1	0	1
PD173074	PF-4708671	COLO-824	0	1
Cisplatin	AZD8055	MDA-MB-231	0	1
LGK974	5-Fluorouracil	GP5d	0	1
Cisplatin	Sapitinib	ZR-75-30	0	1
Temozolomide	Afatinib	MDA-MB-415	0	1
MK-2206	PF-4708671	DU-4475	0	1
LGK974	AZD7762	HT-115	0	1
MK-1775	Paclitaxel	HDQ-P1	0	1
Linsitinib	Irinotecan	MZ1-PC	0	1
OSI-027	PD173074	BT-483	0	1
Cisplatin	Sapitinib	MDA-MB-453	0	1
Gemcitabine	RO-3306	HCC1500	0	1
LGK974	Linsitinib	LS-180	0	1
SB505124	SB216763	SNU-1040	0	1
Cisplatin	ZM447439	BT-483	0	1
Temozolomide	Palbociclib	HCC1428	0	1
BMS-754807	SB505124	COLO-205	0	1
Irinotecan	OSI-027	KP-4	0	1
AZD7762	Palbociclib	MIA-PaCa-2	0	1
Temozolomide	Cisplatin	HCC1806	0	1
OSI-027	Crizotinib	MFM-223	0	1
Dactolisib	Sorafenib	DAN-G	0	1
Luminespib	GSK269962A	HCC1395	0	1
MK-2206	Oxaliplatin	SW948	0	1
Crizotinib	AZD7762	HCC1143	0	1
Vorinostat	5-Fluorouracil	JIMT-1	0	1
PD173074	AZD6482	MDA-MB-468	0	1
Pictilisib	OSI-027	JIMT-1	0	1
Temozolomide	Axitinib	HCC1806	0	1
Lapatinib	Vorinostat	HCC70	0	1
MK-1775	MK-2206	HuP-T4	0	1
Cisplatin	ZM447439	CAL-51	0	1
Pictilisib	Lapatinib	ZR-75-30	0	1
MK-1775	ZM447439	HCC1428	0	1
Crizotinib	Navitoclax	HCC1569	0	1
Crizotinib	Navitoclax	HCC202	0	1
Gemcitabine	Irinotecan	MIA-PaCa-2	0	1
Sorafenib	Dactolisib	MZ1-PC	0	1
Navitoclax	Paclitaxel	CFPAC-1	1	1
Navitoclax	Trametinib	DU-4475	0	1
Linsitinib	Camptothecin	ZR-75-1	0	1
SB505124	Vinorelbine	CaR-1	0	1
Navitoclax	Vinorelbine	MDST8	0	1
Pictilisib	Gemcitabine	HCC38	0	1
Temozolomide	Sapitinib	COLO-824	0	1
Axitinib	Sorafenib	JIMT-1	0	1
Crizotinib	Linsitinib	DAN-G	1	1
Sapitinib	SB216763	UACC-893	0	1
MK-2206	Vorinostat	MDA-MB-415	0	1
Lapatinib	AZD8055	UACC-893	0	1
Bortezomib	Olaparib	CAL-148	0	1
AZD7762	Dabrafenib	HCC38	0	1
PD173074	Axitinib	CAL-85-1	0	1
Cisplatin	Luminespib	HCC1500	0	1
Vinorelbine	Linsitinib	NCI-H716	0	1
Oxaliplatin	Linsitinib	PANC-04-03	0	1
MK-1775	Sorafenib	KP-4	0	1
OSI-027	Navitoclax	SUIT-2	0	1
Taselisib	Luminespib	ZR-75-30	0	1
AZD8055	Taselisib	MDST8	0	1
Pictilisib	ZM447439	UACC-893	1	1
SB505124	Sapitinib	HT-29	0	1
Olaparib	Crizotinib	T84	0	1
Irinotecan	Taselisib	PA-TU-8988T	0	1
MK-1775	AZD8055	BT-483	0	1
BMS-754807	Olaparib	NCI-H747	0	1
PD173074	Temozolomide	HCC1569	0	1
Olaparib	MK-2206	PANC-08-13	0	1
Crizotinib	Wee1 Inhibitor	CAL-51	0	1
OSI-027	Trametinib	HCC38	0	1
Dasatinib	OSI-027	YAPC	0	1
Taselisib	Afatinib	T47D	0	1
OSI-027	Irinotecan	CFPAC-1	0	1
MK-1775	BMS-754807	COLO-678	0	1
Crizotinib	Luminespib	MFM-223	0	1
Crizotinib	Navitoclax	HCC1428	0	1
Lapatinib	Taselisib	PANC-08-13	0	1
MK-1775	Oxaliplatin	NCI-H716	0	1
Docetaxel	Crizotinib	HCC1954	0	1
Vinorelbine	SB216763	MDST8	0	1
Cisplatin	Lapatinib	HCC70	0	1
Crizotinib	Palbociclib	MDA-MB-231	0	1
Palbociclib	Crizotinib	CAPAN-2	0	1
5-Fluorouracil	Sapitinib	LS-180	0	1
Sapitinib	Gemcitabine	COLO-824	0	1
Linsitinib	Docetaxel	HCC1806	0	1
5-Fluorouracil	Oxaliplatin	LS-123	0	1
Navitoclax	Palbociclib	HT-115	0	1
SCH772984	MK-1775	LS-513	0	1
Lapatinib	JQ1	HCC1395	0	1
Pictilisib	PD173074	HCC2157	1	1
5-Fluorouracil	Ruxolitinib	MIA-PaCa-2	0	1
Lapatinib	Gemcitabine	HCC1395	0	1
PD173074	Luminespib	OCUB-M	0	1
AZD7762	GSK269962A	DU-4475	0	1
Galunisertib	Ruxolitinib	PANC-08-13	0	1
Sapitinib	ZM447439	HCC1954	0	1
Navitoclax	OSI-027	MDA-MB-157	0	1
Cisplatin	OSI-027	PL4	0	1
MK-2206	PF-4708671	MDA-MB-453	0	1
Temozolomide	AZD8055	CAL-148	0	1
MK-2206	Palbociclib	NCI-H508	0	1
Olaparib	MK-1775	HPAC	0	1
OSI-027	Linsitinib	OCUB-M	0	1
AZD8055	SB505124	COLO-678	0	1
Sapitinib	Nilotinib	HCC38	0	1
Lapatinib	Ribociclib	OCUB-M	1	1
PD173074	Nilotinib	HCC1143	0	1
Crizotinib	Trametinib	T47D	0	1
Temozolomide	Sapitinib	T47D	0	1
Crizotinib	Camptothecin	MDA-MB-415	0	1
MK-1775	Navitoclax	NCI-H508	1	1
SB216763	MK-2206	SW1116	0	1
MK-2206	Temozolomide	BT-549	0	1
Luminespib	JQ1	HCC38	0	1
5-Fluorouracil	Uprosertib	CAL-148	0	1
Cisplatin	AZD7762	CAL-51	0	1
Oxaliplatin	Gemcitabine	PANC-04-03	0	1
AZD7762	PF-4708671	ZR-75-1	0	1
Trametinib	Taselisib	CAL-51	0	1
Temozolomide	Sorafenib	HCC1143	0	1
Sapitinib	Oxaliplatin	CW-2	0	1
Dabrafenib	MK-2206	HT-29	0	1
Olaparib	Alpelisib	HCC1143	0	1
AZD4547	Navitoclax	HCC2998	1	1
Gemcitabine	AZD7762	HCC1500	0	1
Vinorelbine	SB216763	COLO-320-HSR	0	1
Crizotinib	PF-4708671	MDA-MB-468	0	1
Cisplatin	MK-2206	PANC-04-03	0	1
Sapitinib	MK-1775	SW1116	0	1
Gemcitabine	BI-2536	MDA-MB-468	0	1
Trametinib	SB216763	BT-549	0	1
Linsitinib	Tozasertib	MDA-MB-330	0	1
Dasatinib	Paclitaxel	PANC-04-03	0	1
Palbociclib	Linsitinib	COLO-320-HSR	0	1
BMS-754807	Taselisib	LS-180	0	1
Gemcitabine	Camptothecin	OCUB-M	0	1
Erlotinib	Oxaliplatin	PA-TU-8988T	0	1
SB216763	Dabrafenib	SNU-81	0	1
Docetaxel	Entinostat	HCC1599	0	1
SCH772984	BMS-754807	SW1116	0	1
Bortezomib	MK-2206	HCC202	0	1
Sorafenib	Oxaliplatin	KP-4	0	1
Trametinib	Crizotinib	COLO-205	0	1
Olaparib	Alisertib	DU-4475	0	1
Lapatinib	Vorinostat	MDA-MB-330	0	1
Taselisib	Linsitinib	HCC1569	0	1
Navitoclax	Nilotinib	ZR-75-30	0	1
MK-2206	NU7441	JIMT-1	0	1
Taselisib	SCH772984	HCC1954	1	1
LGK974	Galunisertib	KP-4	0	1
Sapitinib	Venetoclax	HCC1428	1	1
AZD7762	LGK974	SW1116	0	1
Lapatinib	Ruxolitinib	PANC-04-03	0	1
Dasatinib	MK-1775	DAN-G	0	1
5-Fluorouracil	MK-1775	BxPC-3	0	1
Gemcitabine	SCH772984	HCC1806	0	1
Palbociclib	NU7441	CAL-51	0	1
Cisplatin	Oxaliplatin	MZ1-PC	0	1
BMS-754807	MK-2206	LS-180	0	1
AZD7762	Alpelisib	ZR-75-1	0	1
Gemcitabine	Lapatinib	HCC1954	0	1
SB505124	MK-2206	NCI-H508	0	1
Linsitinib	AZD8055	HCC1143	0	1
OSI-027	Gemcitabine	OCUB-M	0	1
Gemcitabine	AZD6482	CAL-85-1	0	1
Pictilisib	KU-55933	HCC1569	0	1
Palbociclib	Oxaliplatin	DAN-G	0	1
Taselisib	PD173074	CAL-148	0	1
Gemcitabine	Lapatinib	ZR-75-30	0	1
MK-1775	AZD6482	ZR-75-30	0	1
MK-1775	AZD4547	COLO-205	0	1
Bortezomib	ZM447439	HDQ-P1	0	1
MK-1775	Linsitinib	HCC70	0	1
Camptothecin	Navitoclax	SNU-81	0	1
PD173074	Ribociclib	HCC1143	0	1
PD173074	GSK269962A	OCUB-M	0	1
Trametinib	Dasatinib	BxPC-3	1	1
Bortezomib	RO-3306	DU-4475	0	1
Trametinib	Uprosertib	CAL-85-1	1	1
Oxaliplatin	Ruxolitinib	PA-TU-8988T	0	1
Dactolisib	Gemcitabine	KP-1N	0	1
MK-1775	Alisertib	HCC1569	0	1
Crizotinib	AZD4547	SNU-C1	0	1
Olaparib	PD173074	HCC1500	0	1
Taselisib	SCH772984	SNU-C5	0	1
Olaparib	MK-2206	T47D	0	1
Sapitinib	Linsitinib	ZR-75-1	0	1
Palbociclib	Entinostat	HCC1806	0	1
Cisplatin	Pictilisib	HCC38	0	1
Gemcitabine	OSI-027	ZR-75-1	0	1
Crizotinib	Vinorelbine	CaR-1	0	1
Temozolomide	Uprosertib	MDA-MB-231	0	1
Crizotinib	Luminespib	UACC-893	0	1
AZD7762	OSI-027	MZ1-PC	0	1
OSI-027	Paclitaxel	CAL-51	0	1
5-Fluorouracil	Nilotinib	ZR-75-30	0	1
Linsitinib	NU7441	DU-4475	1	1
Olaparib	SB216763	HCC1806	0	1
Taselisib	Navitoclax	BxPC-3	0	1
MK-1775	Sorafenib	CAPAN-2	1	1
Luminespib	Sapitinib	HCC1428	0	1
Bortezomib	AZD7762	ZR-75-1	0	1
MK-2206	Linsitinib	HCC1806	0	1
Paclitaxel	Navitoclax	DAN-G	1	1
Docetaxel	Linsitinib	MDA-MB-231	0	1
Axitinib	Luminespib	HCC1954	0	1
Olaparib	5-Fluorouracil	MDA-MB-415	0	1
Luminespib	JQ1	COLO-824	0	1
Docetaxel	KU-55933	MDA-MB-157	0	1
MK-1775	Temozolomide	MDA-MB-453	0	1
5-Fluorouracil	Dabrafenib	HCC1143	0	1
SB505124	Afatinib	CaR-1	0	1
Vinorelbine	Palbociclib	COLO-205	0	1
Bortezomib	AZD6482	HCC1395	0	1
Cisplatin	Luminespib	HCC1395	0	1
Lapatinib	Afatinib	HCC1395	0	1
Luminespib	Vorinostat	HCC1500	0	1
PD173074	5-Fluorouracil	OCUB-M	0	1
MK-2206	Sorafenib	MDA-MB-330	0	1
Dabrafenib	Navitoclax	MDST8	0	1
PD173074	Bortezomib	MDA-MB-415	0	1
Luminespib	Olaparib	JIMT-1	0	1
Cisplatin	GSK269962A	CAL-85-1	0	1
Linsitinib	Nilotinib	HCC2157	0	1
Gemcitabine	5-Fluorouracil	CAL-148	0	1
Linsitinib	Cisplatin	HCC1599	0	1
Sapitinib	Docetaxel	BT-549	0	1
Camptothecin	AZD7762	CaR-1	0	1
SCH772984	Sapitinib	SNU-C1	0	1
LGK974	Trametinib	COLO-320-HSR	0	1
Taselisib	Luminespib	JIMT-1	0	1
Navitoclax	AZD6482	HCC38	1	1
Bortezomib	BI-2536	ZR-75-1	0	1
Luminespib	KU-55933	COLO-824	0	1
Taselisib	JQ1	T47D	0	1
Vinorelbine	SB505124	NCI-H747	0	1
Olaparib	Crizotinib	PANC-08-13	0	1
MK-2206	Venetoclax	HCC2157	0	1
Axitinib	5-Fluorouracil	T47D	0	1
Cisplatin	5-Fluorouracil	HCC1500	0	1
Navitoclax	Ribociclib	HCC1500	1	1
Palbociclib	Docetaxel	MDA-MB-453	0	1
OSI-027	KU-55933	HCC1954	0	1
MK-1775	Taselisib	DAN-G	0	1
Linsitinib	Erlotinib	DAN-G	0	1
MK-1775	SCH772984	OCUB-M	0	1
Olaparib	Palbociclib	COLO-205	0	1
5-Fluorouracil	MK-2206	HCC2998	0	1
Trametinib	Alpelisib	CAL-51	0	1
AZD7762	Afatinib	C2BBe1	0	1
OSI-027	ZM447439	HCC1500	0	1
Temozolomide	JQ1	DU-4475	0	1
Taselisib	Olaparib	HT-115	0	1
Olaparib	Dabrafenib	GP5d	0	1
SCH772984	Crizotinib	T84	0	1
Olaparib	Navitoclax	ZR-75-30	0	1
OSI-027	Paclitaxel	PA-TU-8988T	0	1
Trametinib	Docetaxel	HCC1806	0	1
Axitinib	Sorafenib	ZR-75-1	0	1
Luminespib	Tozasertib	ZR-75-30	0	1
Afatinib	BMS-754807	SW1116	1	1
Sapitinib	Afatinib	SW948	0	1
Oxaliplatin	Olaparib	LS-180	0	1
Docetaxel	AZD6482	T47D	0	1
Trametinib	Uprosertib	MDA-MB-157	0	1
OSI-027	Cisplatin	MDA-MB-330	0	1
Lapatinib	Uprosertib	MDA-MB-415	0	1
Taselisib	Wee1 Inhibitor	HCC2157	0	1
Taselisib	KU-55933	T47D	0	1
Crizotinib	Gemcitabine	HCC2157	0	1
MK-2206	RO-3306	HCC70	0	1
PD173074	Dabrafenib	ZR-75-1	0	1
Lapatinib	Uprosertib	ZR-75-1	0	1
Palbociclib	Crizotinib	HuP-T4	0	1
LGK974	Linsitinib	SNU-C5	0	1
Temozolomide	Afatinib	ZR-75-30	0	1
SB505124	Palbociclib	LS-180	0	1
Oxaliplatin	Sapitinib	HT-29	0	1
MK-2206	Trametinib	UACC-893	1	1
SCH772984	Oxaliplatin	C2BBe1	0	1
MK-2206	Olaparib	ZR-75-30	0	1
Oxaliplatin	Trametinib	SW948	0	1
Lapatinib	Taselisib	HuP-T4	1	1
5-Fluorouracil	MK-1775	MDA-MB-231	0	1
Bortezomib	KU-55933	MDA-MB-468	0	1
Vorinostat	Taselisib	MDA-MB-231	0	1
PD173074	Linsitinib	HCC1954	0	1
MK-2206	Taselisib	MDA-MB-453	0	1
Gemcitabine	Wee1 Inhibitor	HCC38	0	1
AZD7762	Gemcitabine	MDA-MB-453	0	1
Sapitinib	Pictilisib	ZR-75-1	0	1
Taselisib	OSI-027	SW1990	0	1
Taselisib	Temozolomide	HCC2157	0	1
Navitoclax	SB216763	HCC1395	0	1
MK-1775	Sapitinib	HCC1428	0	1
Vinorelbine	Olaparib	SNU-1040	0	1
Navitoclax	Crizotinib	CAL-85-1	1	1
Docetaxel	Uprosertib	HCC70	0	1
Taselisib	AZD7762	MDA-MB-330	0	1
Dabrafenib	Crizotinib	HT-29	0	1
Docetaxel	Uprosertib	ZR-75-30	0	1
Pictilisib	KU-55933	CAL-148	0	1
Galunisertib	Gemcitabine	CFPAC-1	0	1
Luminespib	PD173074	HCC1569	0	1
Vorinostat	5-Fluorouracil	BT-549	0	1
Afatinib	Vinorelbine	T84	0	1
MK-2206	Olaparib	YAPC	0	1
AZD4547	Taselisib	C2BBe1	0	1
Navitoclax	Pictilisib	MDA-MB-157	0	1
Dabrafenib	MK-2206	SW1116	0	1
OSI-027	Trametinib	HCC1599	0	1
Sapitinib	Camptothecin	NCI-H508	0	1
Pictilisib	5-Fluorouracil	HCC1806	0	1
OSI-027	SCH772984	CAL-85-1	0	1
Camptothecin	Palbociclib	SW948	0	1
Gemcitabine	LGK974	CAPAN-2	0	1
LGK974	Navitoclax	COLO-205	0	1
Afatinib	Olaparib	SNU-C1	0	1
Lapatinib	Erlotinib	CAPAN-2	0	1
Crizotinib	SCH772984	HCC1599	0	1
OSI-027	Linsitinib	PL4	1	1
OSI-027	Bortezomib	ZR-75-1	0	1
Navitoclax	AZD7762	SNU-C1	0	1
Linsitinib	Crizotinib	GP5d	0	1
PD173074	Trametinib	MDA-MB-157	0	1
Taselisib	Palbociclib	HCC38	1	1
Lapatinib	SCH772984	ZR-75-1	0	1
Cisplatin	AZD6482	ZR-75-1	0	1
PD173074	Venetoclax	COLO-824	0	1
Linsitinib	Taselisib	LS-180	0	1
Pictilisib	Navitoclax	CAL-51	0	1
Taselisib	AZD7762	LS-180	0	1
AZD7762	Gemcitabine	COLO-824	1	1
PD173074	ZM447439	HCC1599	0	1
Linsitinib	SB505124	NCI-H747	0	1
BMS-754807	SCH772984	SNU-C1	0	1
Galunisertib	Dasatinib	CAPAN-2	0	1
Palbociclib	PF-4708671	MDA-MB-330	0	1
Palbociclib	SCH772984	KP-4	0	1
Cisplatin	SCH772984	JIMT-1	0	1
Lapatinib	AZD6482	OCUB-M	1	1
MK-2206	Sapitinib	CAL-85-1	0	1
Pictilisib	5-Fluorouracil	BT-483	0	1
Cisplatin	Olaparib	MDA-MB-157	0	1
Cisplatin	Dabrafenib	HCC1428	0	1
OSI-027	Uprosertib	HCC1395	0	1
Navitoclax	SB216763	JIMT-1	0	1
SB216763	Vinorelbine	HT-29	0	1
MK-1775	Navitoclax	HCC1806	1	1
Temozolomide	Afatinib	CAL-51	0	1
PD173074	Sorafenib	CAL-85-1	0	1
MK-1775	Wee1 Inhibitor	MDA-MB-453	0	1
Afatinib	AZD8055	LS-123	0	1
Sapitinib	SB216763	CaR-1	0	1
AZD4547	BMS-754807	SNU-407	0	1
Sapitinib	RO-3306	HCC1428	0	1
Oxaliplatin	AZD7762	HPAC	0	1
Erlotinib	MK-1775	DAN-G	0	1
PD173074	Gemcitabine	HCC1954	0	1
Gemcitabine	Olaparib	HCC1428	0	1
Vorinostat	Ribociclib	HCC1395	0	1
MK-2206	Crizotinib	COLO-824	0	1
SB505124	Dabrafenib	LS-180	0	1
Vinorelbine	Trametinib	NCI-H716	0	1
AZD7762	Olaparib	HCC2157	1	1
OSI-027	Gemcitabine	CFPAC-1	0	1
Vinorelbine	SB505124	SW948	0	1
Linsitinib	Ruxolitinib	PA-TU-8988T	0	1
5-Fluorouracil	Trametinib	NCI-H716	0	1
Pictilisib	MK-2206	HCC1500	0	1
Palbociclib	Irinotecan	YAPC	0	1
Irinotecan	Erlotinib	PA-TU-8988T	0	1
Crizotinib	PD173074	HCC1954	0	1
Gemcitabine	SCH772984	MDA-MB-415	0	1
5-Fluorouracil	MK-1775	T84	0	1
AZD7762	LGK974	SNU-1040	0	1
Erlotinib	AZD7762	CFPAC-1	0	1
Oxaliplatin	BMS-754807	SNU-1040	0	1
Sapitinib	Lapatinib	MDA-MB-231	0	1
OSI-027	Sorafenib	MFM-223	0	1
SB505124	Navitoclax	SNU-1040	0	1
Trametinib	Doramapimod	HCC1569	1	1
Oxaliplatin	AZD4547	SW948	0	1
Trametinib	Palbociclib	MDA-MB-330	0	1
Linsitinib	AZD6482	OCUB-M	0	1
AZD7762	RO-3306	HCC1954	0	1
Afatinib	Olaparib	CW-2	0	1
Bortezomib	Pictilisib	MDA-MB-415	0	1
Irinotecan	AZD7762	PANC-04-03	0	1
AZD7762	Dabrafenib	T47D	0	1
Luminespib	MK-2206	ZR-75-1	0	1
MK-2206	Uprosertib	ZR-75-30	0	1
Taselisib	Entinostat	COLO-824	0	1
Taselisib	Camptothecin	CAL-148	0	1
BMS-754807	Dabrafenib	COLO-205	0	1
Lapatinib	Luminespib	HCC1395	0	1
Sorafenib	MK-2206	KP-4	0	1
AZD7762	Crizotinib	T84	0	1
OSI-027	Temozolomide	BT-549	0	1
Oxaliplatin	Sorafenib	PA-TU-8988T	0	1
LGK974	AZD7762	CAPAN-2	0	1
Ruxolitinib	Erlotinib	PANC-04-03	0	1
PD173074	MK-1775	MDA-MB-157	0	1
Cisplatin	Sapitinib	T47D	0	1
Gemcitabine	Afatinib	MDA-MB-157	0	1
OSI-027	BI-2536	MDA-MB-157	0	1
Erlotinib	LGK974	PANC-04-03	0	1
Camptothecin	5-Fluorouracil	HT-115	0	1
Trametinib	Taselisib	COLO-824	1	1
Trametinib	Pictilisib	MDA-MB-468	0	1
Navitoclax	MK-2206	SW1990	0	1
Olaparib	Paclitaxel	DU-4475	0	1
Cisplatin	GSK269962A	MDA-MB-231	0	1
Vorinostat	Navitoclax	CAL-148	1	1
5-Fluorouracil	RO-3306	MFM-223	0	1
Taselisib	KU-55933	MFM-223	0	1
Sapitinib	5-Fluorouracil	MDA-MB-453	0	1
Navitoclax	BMS-754807	NCI-H747	0	1
MK-1775	AZD8055	HCC70	0	1
Palbociclib	Erlotinib	KP-4	0	1
Irinotecan	Dactolisib	PANC-08-13	0	1
Oxaliplatin	Crizotinib	NCI-H747	0	1
Navitoclax	Luminespib	HCC1143	0	1
Linsitinib	MK-2206	HT-115	0	1
Palbociclib	Crizotinib	CW-2	0	1
Docetaxel	Gemcitabine	MFM-223	0	1
Sapitinib	Linsitinib	MDST8	0	1
Palbociclib	Paclitaxel	HCC1428	0	1
Trametinib	AZD8055	CW-2	0	1
Cisplatin	Venetoclax	COLO-824	0	1
Linsitinib	KU-55933	MDA-MB-453	0	1
5-Fluorouracil	Olaparib	HCC2998	0	1
Bortezomib	Entinostat	MFM-223	0	1
Trametinib	KU-55933	MDA-MB-468	0	1
Temozolomide	KU-55933	MDA-MB-157	0	1
OSI-027	Palbociclib	MDA-MB-231	1	1
AZD7762	Olaparib	BT-549	0	1
Afatinib	Olaparib	HT-29	0	1
Bortezomib	Entinostat	HCC38	1	1
MK-1775	Irinotecan	BxPC-3	0	1
Vorinostat	Lapatinib	ZR-75-1	0	1
Bortezomib	Sorafenib	DU-4475	0	1
5-Fluorouracil	SB216763	HCC2998	0	1
Olaparib	SB505124	COLO-320-HSR	0	1
Cisplatin	Nilotinib	HCC70	0	1
Docetaxel	ZM447439	HCC70	0	1
Vinorelbine	AZD8055	CW-2	0	1
Docetaxel	Alpelisib	HCC1954	0	1
Gemcitabine	Palbociclib	HDQ-P1	0	1
OSI-027	MK-2206	BxPC-3	0	1
Vorinostat	Paclitaxel	MDA-MB-415	0	1
Bortezomib	AZD8055	CAL-148	0	1
Camptothecin	SCH772984	COLO-678	0	1
MK-2206	Cisplatin	MZ1-PC	0	1
Temozolomide	SCH772984	ZR-75-30	0	1
Palbociclib	Axitinib	CAL-85-1	0	1
PD173074	Navitoclax	MDA-MB-330	0	1
5-Fluorouracil	Linsitinib	DU-4475	0	1
Docetaxel	Sorafenib	MDA-MB-231	0	1
Trametinib	KU-55933	HDQ-P1	0	1
Taselisib	AZD6482	HCC1806	0	1
Olaparib	Palbociclib	CAPAN-2	0	1
Sapitinib	Axitinib	HCC1954	0	1
BMS-754807	Afatinib	C2BBe1	1	1
MK-1775	Dactolisib	CAPAN-2	0	1
MK-1775	PF-4708671	DU-4475	0	1
Linsitinib	Alisertib	HCC70	0	1
Palbociclib	OSI-027	MIA-PaCa-2	0	1
Palbociclib	Nilotinib	MDA-MB-453	0	1
Crizotinib	Ribociclib	MDA-MB-231	0	1
Palbociclib	Bortezomib	MDA-MB-468	0	1
Erlotinib	Dasatinib	SW1990	0	1
Temozolomide	Trametinib	HCC1599	0	1
Navitoclax	Olaparib	BxPC-3	0	1
Afatinib	BMS-754807	NCI-H747	1	1
AZD7762	Cisplatin	UACC-893	0	1
Navitoclax	Oxaliplatin	HCC2998	1	1
Navitoclax	SB216763	COLO-320-HSR	0	1
Taselisib	MK-1775	SNU-407	0	1
Navitoclax	Venetoclax	MDA-MB-231	0	1
Oxaliplatin	MK-1775	HT-29	0	1
SCH772984	Crizotinib	HT-29	0	1
Camptothecin	Navitoclax	COLO-205	0	1
PD173074	Palbociclib	BT-549	0	1
5-Fluorouracil	Erlotinib	PANC-08-13	0	1
Cisplatin	Venetoclax	HCC38	0	1
Cisplatin	JQ1	HCC2157	0	1
MK-1775	Palbociclib	SNU-1040	0	1
Pictilisib	Trametinib	MDA-MB-231	1	1
Sapitinib	SB216763	BT-549	0	1
Sapitinib	Entinostat	MFM-223	0	1
SCH772984	Trametinib	SNU-81	0	1
Trametinib	Afatinib	MFM-223	0	1
Olaparib	SB505124	COLO-205	0	1
Pictilisib	AZD7762	HCC1954	0	1
Dasatinib	Lapatinib	CFPAC-1	0	1
Vorinostat	SCH772984	HCC1806	0	1
Crizotinib	Olaparib	MIA-PaCa-2	0	1
Palbociclib	BI-2536	OCUB-M	0	1
